Timestamp,F3,T7,T8,F4,goodbye_event,hello_event,yes_event
0.8813271522521973,13,22,-14,29,False,False,False
0.8895089626312256,-8,28,-52,-35,False,False,False
0.897458553314209,-14,3,-42,-64,False,False,False
0.9052891731262208,-2,15,-26,-25,False,False,False
0.9123339653015136,3,-8,-23,13,False,False,False
0.9205846786499025,-4,-68,-5,10,False,False,False
0.9284369945526124,-5,-39,11,-5,False,False,False
0.936586856842041,-3,-6,17,-6,False,False,False
0.9445724487304688,-1,-24,23,13,False,False,False
0.9525048732757568,22,0,28,38,False,False,False
0.9604177474975586,34,16,30,39,False,False,False
0.9684107303619384,2,-29,18,15,False,False,False
0.9756083488464355,-6,-39,3,1,False,False,False
0.9834392070770264,20,9,3,10,False,False,False
0.9913711547851562,22,26,7,12,False,False,False
0.9993653297424316,-4,-4,-1,-5,False,False,False
1.0074548721313477,-22,-27,-8,-17,False,False,False
1.015406370162964,-25,-29,-1,-11,False,False,False
1.023515701293945,-16,-3,2,-6,False,False,False
1.0314152240753174,-1,20,5,-3,False,False,False
1.038520574569702,-9,1,8,-2,False,False,False
1.046675443649292,-11,3,-10,-16,False,False,False
1.0545635223388672,-4,30,-34,-37,False,False,False
1.062388896942139,-18,20,-24,-35,False,False,False
1.0705647468566897,-21,7,-13,-9,False,False,False
1.078416347503662,10,18,-22,9,False,False,False
1.0863807201385498,25,19,-13,3,False,False,False
1.094402551651001,1,-5,11,-1,False,False,False
1.102787971496582,-1,19,1,9,False,False,False
1.1095201969146729,22,74,-31,8,False,False,False
1.1175572872161863,17,29,-13,-9,False,False,False
1.1254026889801023,-3,-39,29,-3,False,False,False
1.1336338520050049,3,-34,24,22,False,False,False
1.14139723777771,13,-28,7,31,False,False,False
1.1496787071228027,6,-25,20,20,False,False,False
1.157463312149048,0,-4,26,4,False,False,False
1.1655480861663818,-14,-22,9,-4,False,False,False
1.17228364944458,-23,-34,0,0,False,False,False
1.1805381774902344,-1,4,11,15,False,False,False
1.1884489059448242,14,3,27,17,False,False,False
1.1965022087097168,14,-16,17,0,False,False,False
1.2045207023620603,18,18,-10,-20,False,False,False
1.2124662399291992,7,7,-17,-11,False,False,False
1.2203855514526367,-8,-32,2,10,False,False,False
1.2286126613616943,6,21,4,13,False,False,False
1.2364602088928225,7,48,-27,1,False,False,False
1.2436234951019287,-17,-8,-41,-9,False,False,False
1.2514052391052246,-23,-9,-20,-24,False,False,False
1.2594566345214844,-16,15,-11,-23,False,False,False
1.2673842906951904,-12,-5,-10,2,False,False,False
1.2755696773529053,-4,-12,6,16,False,False,False
1.283381700515747,-5,12,18,-2,False,False,False
1.2915964126586914,-21,0,0,-27,False,False,False
1.2994158267974854,-25,-9,-21,-36,False,False,False
1.3064754009246826,5,24,-11,-19,False,False,False
1.314387321472168,30,9,14,2,False,False,False
1.3223495483398438,7,-11,3,-5,False,False,False
1.3304097652435305,0,28,-17,-12,False,False,False
1.338428020477295,21,18,2,20,False,False,False
1.3463993072509766,25,-24,32,39,False,False,False
1.3543057441711426,9,-14,39,16,False,False,False
1.362504959106445,6,-4,33,17,False,False,False
1.3705565929412842,8,-15,14,43,False,False,False
1.377399206161499,5,-19,0,33,False,False,False
1.385636329650879,-5,-20,7,11,False,False,False
1.3934378623962402,-26,-6,0,-1,False,False,False
1.4015696048736572,-36,23,-39,-37,False,False,False
1.4094560146331787,-17,6,-41,-49,False,False,False
1.417463779449463,0,-26,1,-9,False,False,False
1.425321102142334,14,28,3,6,False,False,False
1.4334301948547363,39,58,-18,-14,False,False,False
1.440359354019165,30,-31,0,-5,False,False,False
1.448436975479126,-5,-53,-1,14,False,False,False
1.4564497470855713,-9,22,-36,-2,False,False,False
1.4644896984100342,8,27,-24,-15,False,False,False
1.472564697265625,10,-11,11,8,False,False,False
1.4805359840393066,0,-8,16,27,False,False,False
1.4884262084960938,-14,-8,10,8,False,False,False
1.4964470863342283,-17,-11,12,-15,False,False,False
1.5035529136657717,-5,26,13,-7,False,False,False
1.511596918106079,-2,16,19,12,False,False,False
1.5195164680480957,-7,-26,18,15,False,False,False
1.527613878250122,0,23,4,5,False,False,False
1.5355093479156494,1,54,6,-10,False,False,False
1.5435099601745603,-14,-21,13,-16,False,False,False
1.551563024520874,-18,-39,5,-3,False,False,False
1.5596072673797607,-12,11,2,-7,False,False,False
1.5663528442382812,-4,13,2,-20,False,False,False
1.5746030807495115,5,-11,-14,-12,False,False,False
1.5825507640838623,0,-8,-36,-2,False,False,False
1.5905365943908691,-7,0,-38,-6,False,False,False
1.598602294921875,2,8,-23,3,False,False,False
1.6066811084747314,19,6,-11,16,False,False,False
1.6144905090332031,17,-37,0,19,False,False,False
1.6226439476013184,13,-41,16,23,False,False,False
1.6305429935455322,26,24,15,24,False,False,False
1.637728214263916,24,32,15,19,False,False,False
1.645385980606079,-1,-7,36,11,False,False,False
1.653453350067139,-8,-13,30,-5,False,False,False
1.6615469455718994,16,0,-6,-17,False,False,False
1.6696009635925293,36,16,-15,-9,False,False,False
1.677558660507202,8,17,0,-13,False,False,False
1.685572385787964,-44,-6,-11,-35,False,False,False
1.6935222148895264,-56,-26,-28,-34,False,False,False
1.7005915641784668,-23,-9,-10,-1,False,False,False
1.708444356918335,-2,27,-2,7,False,False,False
1.716585636138916,-18,18,-23,-10,False,False,False
1.7244341373443604,-23,-2,-9,-5,False,False,False
1.7326040267944336,-1,10,26,16,False,False,False
1.7404437065124512,3,2,22,21,False,False,False
1.748598575592041,3,-15,7,25,False,False,False
1.7565155029296875,20,-6,13,23,False,False,False
1.764439344406128,26,-12,11,8,False,False,False
1.771366834640503,8,-23,0,-2,False,False,False
1.779608964920044,-6,15,-10,-12,False,False,False
1.7874248027801514,-1,25,-18,-13,False,False,False
