Timestamp,F3,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4,word_label
3.760854482650757,6,13,-3,12,-18,24,-2,-20,-2,1,17,-14,-11,sil
13.13264536857605,-4,-10,2,0,-8,-4,-16,-32,-14,-9,-24,-19,-16,sil
28.66709351539612,-15,1,-54,32,4,52,17,10,8,-6,-25,-16,-24,sil
6.894618511199951,-2,-3,-9,-5,-7,15,13,4,12,0,-5,5,5,sil
7.604230403900146,32,21,4,36,11,5,5,11,1,0,22,15,27,sil
25.70112705230713,-32,-38,-7,-34,-13,0,-11,-10,-4,-11,-21,-19,-13,sil
14.646790266036987,24,43,26,34,31,6,14,-9,7,1,16,4,-1,sil
9.767006635665894,-8,-5,-31,27,8,-4,-2,0,13,-8,-11,0,-5,sil
21.85762119293213,33,17,50,-22,-13,-9,-14,39,79,4,33,46,38,sil
13.840966701507568,-3,-91,10,-25,4,9,-23,-18,0,2,-25,3,7,sil
19.783716678619385,-4,-5,-22,0,-6,5,-7,-11,2,-12,-11,-22,-13,hello
9.838613748550417,-14,-4,0,-18,-28,-48,-41,-29,-22,-14,-21,-33,-49,sil
11.320078372955322,-16,-22,-22,-4,4,21,15,28,11,18,-4,22,1,sil
10.179742813110352,29,15,-18,-7,-56,-8,-27,-34,6,-8,21,10,31,sil
0.3146071434020996,-32,-27,-16,-9,-1,4,10,-12,-31,-3,-4,-33,-25,sil
18.493113040924072,22,20,13,16,5,1,-1,-3,17,10,16,21,30,sil
1.1720757484436035,-46,8,-4,10,8,31,13,16,-14,-21,-8,-38,-47,sil
20.649861574172974,-9,-32,-49,-38,1,-15,-20,7,11,-24,-5,0,11,sil
20.82622766494751,-23,-7,-19,-1,4,-2,-3,-11,-38,-4,-24,-18,-19,sil
10.405627727508543,-1,5,-7,-8,-5,-5,-26,-43,-31,-14,-6,-40,-31,sil
12.047727108001707,10,14,0,-12,-23,22,-8,-20,-15,0,-2,-11,-7,sil
0.9948582649230956,-30,2,18,2,-32,6,-33,-46,-53,-8,-2,-57,-73,sil
13.652779817581177,-17,-47,-24,-40,-2,3,-18,0,0,15,-10,23,6,sil
9.660231351852415,-6,1,1,-9,0,-32,-4,-5,-9,12,2,2,0,sil
20.39859080314636,15,38,10,42,-6,-15,22,-17,10,17,15,17,-2,sil
13.31648325920105,11,12,18,2,0,6,-43,-58,-54,-6,5,-19,-19,goodbye
4.78136944770813,-29,-23,-3,-3,9,-11,-10,0,-18,-2,-4,-10,-7,sil
6.016441345214844,-7,-58,-11,-1212,2,-10,-20,-5,15,6,-14,34,9,sil
9.502524375915527,-19,-12,-25,-2,5,-31,-5,7,-22,-15,-26,-56,-48,sil
17.87657642364502,-3,-23,14,-35,0,-57,-15,-1,-15,-3,13,-9,7,sil
12.244395971298218,17,17,-1,42,-7,41,3,0,5,12,14,16,15,hello
18.249412059783936,31,21,31,6,-13,17,-3,-22,-4,-5,23,-7,14,sil
5.054644346237183,21,27,28,20,1,3,28,36,29,41,12,33,0,sil
21.125110626220703,-38,0,3,30,16,0,-23,-29,-23,4,-24,-26,-38,sil
19.377034902572632,6,10,-15,-20,0,4,14,24,33,21,23,44,32,hello
11.78783917427063,2,-32,0,-21,-12,-56,21,24,8,0,-3,14,11,sil
4.025179862976074,8,6,21,2,-16,-15,-30,-24,-9,4,7,0,3,sil
15.86747980117798,64,62,22,12,18,18,8,-23,-12,20,42,3,27,sil
25.735132932662964,-20,-23,-20,6,-5,-19,17,23,24,0,-2,7,11,sil
22.62777805328369,0,-67,-9,-52,-4,5,-4,21,16,21,-6,26,26,sil
1.6580395698547363,-8,29,-23,10,-2,4,17,0,-5,3,-4,-21,-16,sil
21.795518159866333,-16,11,-13,14,3,20,9,16,27,1,-2,-7,-14,goodbye
3.5992796421051025,-18,-33,11,-25,-16,-2,-2,-10,-5,-13,-6,-14,-9,sil
23.765847206115723,19,17,-3,33,4,45,-6,-23,-50,-7,-15,-14,-7,hello
11.528156518936155,34,66,7,61,12,77,26,4,7,19,22,23,7,sil
18.2169828414917,-15,-6,0,1,-22,-17,22,65,35,43,9,49,3,sil
15.243817329406738,-6,0,24,-12,8,-22,-11,-7,0,2,5,-8,-3,sil
12.75612759590149,5,26,0,14,0,5,-5,1,9,14,26,19,24,sil
5.35482931137085,11,22,0,-26,12,15,10,0,-7,0,-3,-7,-14,sil
20.563713550567627,13,5,-4,24,-2,14,-22,-5,-20,-15,-7,-9,11,sil
28.63536047935486,-34,-45,-34,-2,-8,11,-1,-13,0,-20,-17,0,-10,sil
18.77407956123352,6,35,10,60,3,-17,2,28,28,21,7,25,-3,sil
1.808886766433716,5,0,11,-9,22,-6,30,16,-29,1,-15,-41,-39,sil
19.95182943344116,-1,-7,13,80,-28,0,5,28,11,9,10,28,11,sil
7.521159410476685,-31,-25,-21,-24,4,23,16,1,-3,-27,-17,-5,-20,sil
21.54167652130127,-12,-13,-23,8,9,-9,16,20,16,11,4,33,16,sil
25.206772565841675,-94,-57,-19,-14,0,-35,1,34,37,28,17,42,18,sil
12.299886703491213,-26,-17,-29,-7,23,-12,15,33,21,-24,-25,-10,-28,sil
24.21431946754456,11,-2,3,-3,-2,-9,-6,-23,3,4,4,6,17,sil
29.12102961540222,-12,34,-9,33,16,16,19,17,14,-18,2,-19,-24,sil
24.96867108345032,39,38,15,4,-2,-23,-10,-28,-7,0,21,0,21,sil
10.572534322738647,119,89,66,-2,31,10,38,77,70,13,78,106,125,sil
6.902021884918213,18,41,14,34,7,61,1,-8,2,8,0,0,-5,hello
23.84887003898621,11,17,24,21,48,-19,35,78,42,19,13,56,39,sil
13.710909605026243,16,18,0,65,7,67,22,1,0,3,14,-2,1,sil
27.160821676254272,-3,12,-14,-2,-1,19,19,24,2,6,1,2,-8,sil
27.83215475082397,20,67,2,68,-3,122,35,-18,-8,5,14,0,-14,hello
1.3683593273162842,6,-5,14,-15,-8,-15,4,0,-9,10,5,13,14,sil
24.32513546943665,3,33,-16,32,0,62,19,5,-9,-20,-3,-3,-2,sil
10.82697820663452,-5,-26,-23,-68,-9,-60,-11,3,-10,-8,-8,-16,0,sil
17.96528434753418,-2,8,6,7,12,22,5,25,32,17,22,31,15,hello
20.5899338722229,-45,-22,-12,-1,-15,-23,-9,-16,-15,-2,-18,-7,-24,sil
5.55376410484314,29,16,28,-2,12,4,7,23,16,13,25,22,18,sil
11.351747512817385,-6,-44,10,-81,-3,-89,-22,7,-11,-5,-13,-7,-4,sil
23.685858011245728,-22,-26,-1,-5,12,-13,11,16,2,-10,-21,-4,-19,sil
10.515779733657835,28,72,2,45,-3,-27,5,-24,-15,-32,11,-34,-20,sil
24.711103916168213,-12,5,-2,38,8,36,14,6,0,-13,-8,-14,-22,sil
16.64671301841736,-15,17,-9,35,18,-12,-4,1,-4,0,5,-6,9,sil
12.307015419006348,-39,12,-3,5,1,19,-24,-15,-16,-19,-6,-27,-27,sil
23.314867734909058,54,32,42,11,11,-6,-31,-17,27,14,16,15,-6,sil
10.865898609161375,0,13,-1,57,3,45,4,3,18,0,3,-7,-11,sil
24.85157155990601,-3,19,-2,16,31,10,48,41,47,23,25,33,21,sil
28.991066455841064,-20,-30,0,-28,-29,-68,-35,-16,0,10,-11,0,-6,sil
6.602338075637817,15,12,0,-35,0,-11,10,0,1,0,11,0,26,hello
19.767843008041385,-70,-29,-81,-24,-48,-22,-10,-59,-60,-9,-19,-72,-61,sil
5.813069105148315,-9,-77,7,-67,-30,-8,-26,10,13,21,-17,15,7,sil
26.255131721496586,-21,-12,-39,-11,-15,-6,-2,-12,-5,-10,-16,-13,-20,sil
5.664263010025024,28,37,31,44,0,61,-11,-39,-72,-8,-30,-73,-55,sil
26.81253409385681,32,2,14,-49,-23,-67,-23,-23,-13,-9,3,0,11,sil
11.551504373550417,15,4,7,8,-2,-7,-16,-21,0,3,0,-5,-1,sil
26.496493101119995,-2,-16,-3,-12,-8,3,-1,12,2,-5,0,0,-1,sil
16.048853158950806,2,26,17,5,-22,-7,-8,-4,-24,13,12,-3,-20,sil
21.697357654571533,-67,-58,-46,-29,-4,-36,-9,-19,-13,-16,-45,-37,-46,sil
11.809820890426636,-18,-19,-10,-32,-1,-60,-25,-13,14,8,10,28,17,sil
25.617616176605225,-29,-15,-33,3,-6,16,12,2,8,-5,-15,-1,-15,goodbye
18.08366847038269,-23,-18,-40,-4,-2,4,-17,-31,-46,-21,-26,-70,-38,sil
22.48908853530884,-12,10,-9,13,9,20,12,6,18,0,-9,-4,-22,sil
12.180904388427734,27,14,-7,-21,-17,12,2,-13,-8,-8,7,-5,14,hello
5.088192224502564,-5,-28,-2,-29,-23,-16,-25,-35,-2,2,-20,-24,-30,sil
12.883158922195436,-4,-16,-6,11,6,-9,3,7,0,3,0,0,1,sil
4.321687698364258,41,18,56,-16,-6,-25,-12,-16,-6,35,31,13,3,sil
12.880202054977415,-31,-15,1,-4,0,-3,-3,11,11,-10,-5,2,-5,sil
12.972656726837158,6,9,1,-17,-32,-45,-43,-41,-42,0,10,-4,-9,goodbye
0.251328706741333,-17,-12,16,31,18,19,12,12,22,7,13,12,-5,sil
18.390636205673218,-19,-43,-2,-41,-4,-47,-19,4,3,-6,-6,-7,-3,sil
2.980895757675171,54,31,42,0,3,-4,-2,-3,-3,0,17,18,50,sil
16.15010976791382,-1,24,23,44,2,0,-3,-9,-17,-17,-9,-31,-26,sil
27.21467161178589,-3,-15,5,-13,0,-18,-20,-31,-7,5,-7,-8,2,goodbye
28.281195163726807,-9,-9,-3,-9,0,-7,-20,-22,-12,-2,-4,4,-17,sil
26.27109313011169,-11,3,-2,-3,9,-9,6,1,12,12,0,1,-1,sil
10.169827699661257,4,26,-6,12,3,-22,-13,-18,-8,0,2,-11,-6,sil
