Timestamp,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4,word_label
0.6322066783905029,-10,2,-10,19,13,13,20,7,19,22,-6,-20,-2,4,sil
0.6322066783905029,-27,-9,-16,-1,9,10,15,4,4,9,-26,-33,-17,-15,sil
0.6474101543426514,-23,-14,-15,-6,-1,8,15,0,-4,5,-34,-31,-22,-13,sil
0.6474101543426514,-6,-9,-10,-11,-6,8,17,0,0,11,-15,-18,-12,0,sil
0.6630089282989502,3,-3,-3,-8,-4,16,20,7,22,22,4,-2,6,11,sil
0.6630089282989502,13,0,10,0,-3,9,12,7,32,20,7,15,17,23,sil
0.6787786483764648,20,2,11,-3,-2,-5,0,-4,16,7,13,24,19,22,sil
0.6787786483764648,23,0,2,-17,-2,-7,-7,-5,5,4,24,26,27,21,sil
0.694037675857544,22,0,8,-15,-7,-10,-16,1,18,15,29,31,36,26,sil
0.694037675857544,18,3,8,0,-4,-17,-17,0,30,19,38,32,41,21,sil
0.7099330425262451,16,5,6,5,5,-14,-7,-3,17,3,39,29,32,15,sil
0.7099330425262451,7,7,6,-8,2,-17,-7,0,-8,-13,9,12,7,2,sil
0.7252445220947266,-8,0,-10,-21,-12,-28,-18,-8,-37,-26,-17,-15,-22,-26,sil
0.7252445220947266,-15,-9,-11,-17,-16,-18,-22,-14,-56,-44,-18,-21,-37,-38,sil
0.7409048080444336,-11,-4,0,-5,-7,0,-11,-9,-45,-40,-7,-15,-25,-21,sil
0.7409048080444336,-13,5,6,7,1,0,-7,-3,-23,-19,-11,-26,-15,-16,sil
0.7559609413146973,-15,10,5,24,6,2,-7,0,-10,-9,-19,-28,-23,-21,sil
0.7559609413146973,-14,1,0,23,7,18,2,1,6,2,-14,-10,-17,-13,sil
0.7715997695922852,-14,-7,0,9,10,23,12,7,18,15,-11,-8,-4,-1,sil
0.7715997695922852,-6,-4,0,15,13,20,20,8,13,11,-17,-18,-5,1,sil
0.7874424457550049,0,-1,0,20,4,14,26,5,10,7,-17,-8,-10,0,sil
0.7874424457550049,-10,-15,-10,-7,-7,1,17,5,1,5,-17,-1,-13,-6,sil
0.8030304908752441,-20,-24,-26,-31,-8,-10,0,0,-10,-10,-20,-7,-13,-9,sil
0.8030304908752441,-2,-14,-14,-26,-4,-6,-4,-5,0,-16,-11,5,-5,0,sil
0.8183615207672119,12,0,-2,-14,-1,3,0,1,14,2,5,18,13,11,sil
0.8183615207672119,14,7,-4,-11,2,0,-5,8,10,12,21,18,31,19,sil
0.834630012512207,25,15,12,-4,2,-11,-14,2,9,8,34,28,31,16,sil
0.834630012512207,26,16,21,9,3,-9,-6,-6,7,12,33,21,18,9,sil
0.8502624034881592,6,13,11,19,9,0,0,-4,-11,16,18,0,6,8,sil
0.8502624034881592,-2,12,3,24,5,9,0,0,-9,14,5,-8,2,10,sil
0.8660097122192383,0,7,4,24,3,17,8,1,11,14,0,-5,0,8,sil
0.8660097122192383,-1,-2,0,9,5,8,17,3,15,13,-8,-7,-4,4,sil
0.8814120292663574,-6,-10,-12,-9,-9,-11,1,0,6,4,-18,-8,-7,2,sil
0.8814120292663574,-2,-8,-8,-18,-20,-19,-15,0,3,-8,-12,1,-5,0,sil
0.897026777267456,11,-1,3,-9,-7,-13,-7,4,6,-16,11,16,6,0,sil
0.897026777267456,20,2,5,-4,0,-14,-3,-3,0,-15,27,21,18,-3,sil
0.9130501747131348,4,2,7,-15,-5,-12,-15,-12,-18,-18,18,12,7,-8,sil
0.9130501747131348,-9,0,2,-15,-6,0,-8,-5,-22,-22,0,-5,-13,-14,sil
0.9289300441741944,-8,1,6,0,0,11,17,6,-5,-15,-7,-9,-16,-12,sil
0.9289300441741944,-5,6,14,12,4,20,31,9,5,2,-5,0,-2,-3,sil
0.9443240165710448,-6,0,4,10,8,16,14,0,-1,14,-9,-5,-8,-1,sil
0.9443240165710448,-6,-2,-5,9,5,11,-4,-6,-9,11,-20,-18,-21,-6,sil
0.9603891372680664,-6,0,-6,16,3,17,0,-5,-1,9,-18,-16,-7,-3,sil
0.9603891372680664,-6,-3,-7,6,5,13,13,1,9,14,-9,-8,4,5,sil
0.97627854347229,-6,-6,-19,-16,3,-3,5,8,13,16,-7,-2,5,14,sil
0.97627854347229,0,-1,-21,-17,-1,-10,-6,5,22,13,-1,2,19,15,sil
0.9912898540496826,10,4,2,0,1,-9,-14,0,19,3,15,15,26,7,sil
0.9912898540496826,13,8,5,2,4,-16,-23,-6,-9,-12,27,15,11,-3,sil
1.007361650466919,3,8,0,3,0,-19,-26,-11,-28,-24,14,4,-3,-11,sil
1.007361650466919,-3,13,15,20,2,0,-7,-3,-11,-15,-1,-4,-5,-8,sil
1.0233843326568604,-2,9,17,31,12,18,18,2,0,1,-2,-9,-7,0,sil
1.0233843326568604,-3,-18,-5,7,1,8,14,1,-9,3,-9,-13,-16,-2,sil
1.0393905639648438,-14,-39,-24,-24,-21,-11,-10,-4,-11,0,-24,-20,-17,-12,sil
1.0393905639648438,-13,-25,-20,-31,-22,-21,-19,-6,-8,-9,-25,-13,-7,-12,sil
1.0549213886260986,3,-5,-8,-24,-6,-20,-14,0,-9,-17,-11,2,-3,-4,sil
1.0549213886260986,9,2,0,-16,0,-11,-11,3,-2,-9,2,11,-3,-1,sil
1.0706017017364502,1,13,16,-1,2,3,-3,2,0,0,13,13,1,0,sil
1.0706017017364502,0,16,19,15,11,17,15,3,-4,0,12,6,2,2,sil
1.0853538513183594,0,0,6,14,11,19,23,4,1,7,-2,-7,-9,3,sil
1.0853538513183594,-5,-6,0,6,0,15,15,3,15,13,-13,-8,-14,12,sil
1.1014752388000488,2,-2,-1,0,-6,3,15,2,23,11,-2,6,2,23,sil
1.1014752388000488,15,-2,1,-8,-2,-6,4,1,16,2,11,20,14,15,sil
1.1174240112304688,12,-1,0,-16,0,-2,-10,0,4,-8,14,18,14,-7,sil
1.1174240112304688,7,7,2,-18,0,5,-1,0,9,-4,24,14,19,-6,sil
1.1329338550567627,6,24,21,0,4,5,13,7,15,8,36,19,25,7,sil
1.1329338550567627,0,31,17,29,6,2,6,2,4,7,24,8,16,0,sil
1.1489834785461426,-11,13,-4,31,0,6,6,-4,0,7,-1,-7,0,-4,sil
1.1489834785461426,-9,-3,-11,17,2,13,24,0,7,24,-14,-15,-6,8,sil
1.1650800704956057,0,-6,-3,20,7,11,19,1,1,23,-17,-11,-6,13,sil
1.1650800704956057,0,-10,-1,13,-2,3,0,0,0,9,-15,-4,-1,6,sil
1.1811842918395996,3,-14,-11,-10,-11,-8,-5,0,14,7,-10,-4,0,0,sil
1.1811842918395996,2,-13,-12,-23,-7,-17,-18,-8,0,-6,-13,-8,-8,-11,sil
1.1963660717010498,0,-15,-10,-25,-7,-18,-36,-13,-20,-22,-8,-7,-9,-15,sil
1.1963660717010498,6,-4,-4,-17,-2,-17,-29,-6,-16,-18,10,7,6,-5,sil
1.212029218673706,14,19,9,0,8,-14,-19,-8,-25,-23,14,20,7,-3,sil
1.212029218673706,0,19,3,7,5,-10,-18,-13,-43,-33,2,0,-13,-17,sil
1.2271974086761477,-15,5,-2,3,0,-5,-11,0,-32,-25,-6,-26,-26,-26,sil
1.2271974086761477,-16,6,0,9,3,7,0,4,-11,-12,-13,-27,-17,-14,sil
1.2423243522644043,-11,2,2,11,2,13,4,4,-5,-2,-14,-14,-9,1,sil
1.2580084800720217,-7,-8,10,5,0,13,8,10,3,12,-5,-3,-6,6,sil
1.2580084800720217,-3,-18,0,3,0,16,17,4,18,27,0,-7,0,5,sil
1.2580084800720217,-6,-24,-13,-6,-3,10,19,0,16,28,-13,-15,2,5,sil
1.2732956409454346,-3,-18,-8,-15,-4,3,18,11,14,20,-20,-3,3,4,sil
1.2732956409454346,6,-9,-5,-9,-1,1,17,10,29,14,1,17,18,13,sil
1.289522409439087,11,-7,-5,-13,-4,-6,4,6,34,9,21,29,32,33,sil
1.289522409439087,7,-1,-8,-23,-12,-16,-6,5,17,0,14,20,20,27,sil
1.3051409721374512,0,5,-5,-19,-8,-17,-8,-6,0,-10,6,6,0,0,sil
1.3198163509368896,0,11,5,-6,3,-9,-3,-7,0,-10,16,14,1,-1,sil
1.3198163509368896,7,14,8,0,8,-3,0,0,-2,-13,19,25,1,5,sil
1.3350772857666016,0,12,11,0,2,-4,-5,-5,-15,-25,4,10,-17,-16,sil
1.3350772857666016,-5,16,17,15,5,1,-9,-10,-9,-13,5,-6,-13,-29,sil
1.351139783859253,4,27,21,39,17,14,4,1,9,6,2,-2,0,-12,sil
1.351139783859253,9,24,12,37,16,17,14,7,1,1,-19,-6,-12,-4,sil
1.3664865493774414,1,4,1,22,7,14,9,-2,-20,-4,-16,-17,-13,0,sil
1.3664865493774414,3,-3,8,23,5,18,9,-2,-19,6,4,-7,5,11,sil
1.3822555541992188,4,-10,2,8,0,15,14,6,0,15,1,-3,14,12,sil
1.3822555541992188,-2,-20,-18,-23,-8,-1,3,6,7,17,-4,-10,8,3,sil
1.397433519363403,0,-11,-15,-18,-8,-4,-2,0,7,15,0,0,2,3,sil
1.397433519363403,6,-2,-3,-1,-2,0,-1,-4,5,5,-6,9,0,7,sil
1.413391351699829,0,-14,-5,-21,-8,-9,-13,-3,0,-4,-14,0,-2,1,sil
1.413391351699829,-6,-20,-15,-33,-17,-22,-24,-4,1,-2,0,-5,-1,-7,sil
1.4283955097198486,0,-7,-10,-15,-13,-24,-25,-9,9,0,19,9,6,-9,sil
1.4283955097198486,3,1,3,-6,-5,-22,-30,-7,-2,-11,23,25,2,-9,sil
1.4445369243621826,0,8,7,4,-1,-16,-31,-2,-16,-14,14,9,-8,-15,sil
1.4445369243621826,0,17,21,22,4,-1,-16,-1,-7,-2,4,-5,-2,-11,sil
